CURSO,CÓDIGO DE TURMA,TURMA,TEORIA,PRÁTICA,CAMPUS,TURNO,T-P-E-I,VAGAS TOTAIS,VAGAS REMANESCENT ES,TURMAS ALTA DEMANDA,DOCENTE TEORIA,DOCENTE TEORIA 2,DOCENTE PRÁTICA,DOCENTE PRÁTICA 2
BACHARELADO EM BIOTECNOLOGIA,DA1NHZ1009-15SA,BIOLOGIA MOLECULAR E BIOTECNOLOGIA A1- Matutino (SA),"terça das 14:00 às 17:00, semanal",,SA,Matutino,3-0-3,49,0,-,JULIANA CARDINALI REZENDE,0,0,0
BACHARELADO EM BIOTECNOLOGIA,DA1NHZ6008-18SA,ENGENHARIA METABÓLICA A1-Matutino (SA),"quarta das 08:00 às 10:00, semanal","quarta das 10:00 às 12:00, semanal",SA,Matutino,2-2-4,30,8,-,JULIANA CARDINALI REZENDE,0,JULIANA CARDINALI REZENDE,0
BACHARELADO EM BIOTECNOLOGIA,NA1NHZ6008-18SA,ENGENHARIA METABÓLICA A1-Noturno (SA),"segunda das 19:00 às 21:00, semanal","segunda das 21:00 às 23:00, semanal",SA,Noturno,2-2-4,30,6,-,JULIANA CARDINALI REZENDE,0,JULIANA CARDINALI REZENDE,0
BACHARELADO EM BIOTECNOLOGIA,DA1NHZ6001-18SA,FUNDAMENTOS DA BIOTECNOLOGIA A1-Matutino (SA),"segunda das 10:00 às 12:00, semanal",,SA,Matutino,2-0-2,60,0,-,JOANA MONTEZANO MARQUES,0,0,0
BACHARELADO EM BIOTECNOLOGIA,NA1NHZ6001-18SA,FUNDAMENTOS DA BIOTECNOLOGIA A1-Noturno (SA),"segunda das 19:00 às 21:00, semanal",,SA,Noturno,2-0-2,60,0,SIM,JOANA MONTEZANO MARQUES,0,0,0
BACHARELADO EM BIOTECNOLOGIA,DA1ESZB022-17SA,INTRODUÇÃO À BIOINFORMÁTICA A1-Matutino (SA),"quarta das 08:00 às 10:00, semanal","sexta das 10:00 às 12:00, semanal",SA,Matutino,3-1-4,30,0,SIM,FERNANDA NASCIMENTO ALMEIDA,0,FERNANDA NASCIMENTO ALMEIDA,0
BACHARELADO EM BIOTECNOLOGIA,NA1ESZB022-17SA,INTRODUÇÃO À BIOINFORMÁTICA A1-Noturno (SA),"quarta das 19:00 às 21:00, semanal","sexta das 21:00 às 23:00, semanal",SA,Noturno,3-1-4,30,0,SIM,DANILO TRABUCO DO AMARAL,0,DANILO TRABUCO DO AMARAL,0
BACHARELADO EM BIOTECNOLOGIA,DA1NHZ6005-18SA,LABORATÓRIO DE BIOPROCESSOS A1-Matutino (SA),"quinta das 10:00 às 12:00, semanal","terça das 08:00 às 10:00, semanal",SA,Matutino,2-2-0,30,9,-,MARCELO CHUEI MATSUDO,0,MARCELO CHUEI MATSUDO,0
BACHARELADO EM BIOTECNOLOGIA,NA1NHZ6005-18SA,LABORATÓRIO DE BIOPROCESSOS A1-Noturno (SA),"sexta das 21:00 às 23:00, semanal","quarta das 19:00 às 21:00, semanal",SA,Noturno,2-2-0,30,13,-,MARCELO CHUEI MATSUDO,0,MARCELO CHUEI MATSUDO,0
BACHARELADO EM BIOTECNOLOGIA,DA1NHZ6003-18SA,NANOBIOTECNOLOGIA A1-Matutino (SA),"terça das 10:00 às 12:00, semanal","sexta das 08:00 às 10:00, semanal",SA,Matutino,2-2-0,30,1,-,LARISSA PEREIRA BRUMANO,0,LARISSA PEREIRA BRUMANO,0
BACHARELADO EM BIOTECNOLOGIA,NA1NHZ6003-18SA,NANOBIOTECNOLOGIA A1-Noturno (SA),"terça das 21:00 às 23:00, semanal","sexta das 19:00 às 21:00, semanal",SA,Noturno,2-2-0,30,0,-,LARISSA PEREIRA BRUMANO,0,LARISSA PEREIRA BRUMANO,0
BACHARELADO EM BIOTECNOLOGIA,DA1NHZ6002-18SA,TECNOLOGIA DE FERMENTAÇÕES A1-Matutino (SA),"terça das 10:00 às 12:00, semanal","sexta das 08:00 às 10:00, semanal",SA,Matutino,2-2-0,30,7,-,TALES ALEXANDRE DA COSTA E SILVA,0,TALES ALEXANDRE DA COSTA E SILVA,0
